code,status,codeforiati:registry-identifier,codeforiati:organisation-type-code,codeforiati:organisation-type,codeforiati:hq-country-or-region
GB-COH-2695347,active,options,70,Private Sector,United Kingdom
NL-KVK-41149287,active,tdh_nl,21,International NGO,Netherlands
GB-CHC-1110434,active,wellfound,21,International NGO,United Kingdom
NL-KVK-41149486,active,st_vluchteling,21,International NGO,Netherlands
GB-CHC-1133342,active,zing,60,Foundation,United Kingdom
NL-KVK-41009723,active,zoa,21,International NGO,Netherlands
NL-KVK-41223308,active,somo,80,"Academic, Training and Research",Netherlands
NL-KVK-06702132,active,wygi,70,Private Sector,United Kingdom
GB-COH-1869600,active,itad,70,Private Sector,United Kingdom
GB-COH-03122495,active,opml,70,Private Sector,United Kingdom
GB-COH-SC301345,active,uq,70,Private Sector,United Kingdom
NL-KVK-32037590,active,ipa,70,Private Sector,Netherlands
GB-COH-02768268,active,nathan,70,Private Sector,United Kingdom
GB-COH-5155300,active,alcis,70,Private Sector,United Kingdom
mz-moj-64vq1,active,adpp,22,National NGO,Mozambique
GB-COH-2394229,active,palladium,70,Private Sector,United Kingdom
FI-PRO-1498487-2,active,planinternationalfinland,21,International NGO,Finland
NL-KVK-41193594,active,rutgers,21,International NGO,Netherlands
GB-COH-00637978,active,mstamp,70,Private Sector,United Kingdom
GB-CHC-1101217,active,lhcf,22,National NGO,United Kingdom
GB-COH-03580586,active,pwc,70,Private Sector,United Kingdom
GB-CHC-1048007,active,lcdi_admin,21,International NGO,United Kingdom
NG-CAC-RC481360,active,cbi-nigeria,21,International NGO,Nigeria
GB-COH-1574821,active,landell-mills,70,Private Sector,United Kingdom
GB-COH-00986729,active,nri,80,"Academic, Training and Research",United Kingdom
NL-KVK-41215393,active,warchildholland,21,International NGO,Netherlands
GB-COH-01245534,active,atosuk,70,Private Sector,United Kingdom
NL-KVK-41158230,active,carenederland,21,International NGO,Netherlands
GB-COH-03613839,active,iodparc,70,Private Sector,United Kingdom
NL-KVK-41210820,active,ccc,21,International NGO,Netherlands
GB-COH-FC012665,active,mck,70,Private Sector,(No country assigned)
GB-COH-08327972,active,aktis,70,Private Sector,United Kingdom
NL-KVK-41236410,active,dai,21,International NGO,Netherlands
US-18,active,millenniumchallenge,10,Government,United States
NL-KVK-41202535,active,mamac,60,Foundation,Netherlands
GB-COH-8835431,active,simprints,21,International NGO,United Kingdom
GB-CHC-1158206,active,waterworks,21,International NGO,United Kingdom
NL-KVK-30214009,active,pax,21,International NGO,Netherlands
NL-KVK-27284008,active,decp,22,National NGO,Netherlands
CO-CCB-00159397,active,uafla,23,Regional NGO,Colombia
US-EIN-03-0419743,active,uaf,21,International NGO,United States
NL-KVK-41177385,active,tear,22,National NGO,Netherlands
NL-KVK-41152786,active,snv,21,International NGO,Netherlands
NL-KVK-41167934,active,skn,21,International NGO,Netherlands
US-EIN-522044704,active,aeras,21,International NGO,United States
US-EIN-06-1597-668,active,jass,21,International NGO,United States
US-EIN-521291786,active,awid,21,International NGO,United States
NL-KVK-41179943,active,wvnld,60,Foundation,Netherlands
NL-KVK-41201463,active,scnl,21,International NGO,Netherlands
NL-KVK-41151952,active,irc,21,International NGO,Netherlands
